Year;Death;Birth;Pop
1776;32,67;34,66;0
1796;31,93;35,67;0
1816;33,11;35,67;0
1836;36,17;36,92;0
1856;36,31;37,38;0
1876;29,43;34,59;0
1896;28,07;28,07;0
1916;30,03;28,09;0
1936;29,37;22,28;0
1956;15,51;17,37;0
1966;6,8;13,8;99790000
1967;6,7;19,4;100725000
1968;6,8;18,7;101061000
1969;6,8;18,5;103172000
1970;6,9;18,7;104345000
1971;6,5;19,1;105697000
1972;6,4;19,2;107188000
1973;6,6;19,4;108079000
1974;6,4;18,4;110162000
1975;6,2;17;111940000
1976;6,2;16,2;112771000
1977;6;15,4;113863000
1978;6;14,8;114898000
1979;5,9;14,1;115870000
1980;6,1;13,5;116782000
1981;6,1;13;117648000
1982;6;12,8;118449000
1983;6,2;12,7;119259000
1984;6,2;12,5;120018000
1985;6,2;11,9;120754000
1986;6,2;11,4;121492000
1987;6,7;11,1;122091000
1988;6,5;10,8;122613000
1989;6,4;10,2;123116000
1990;6,7;10;123537000
1991;6,7;9,9;123921000
1992;6,9;9,8;124229000
1993;7,1;9,6;124536000
1994;7,1;10;124961000
1995;7,41;9,54;125439000
1996;7,1;9,6;125757000
1997;7,3;9,5;126057000
1998;7,5;9,6;126400000
1999;7,8;9,3;126631000
2000;7,7;9,4;126843000
2001;7,7;9,3;127149000
2002;8,1;9,3;127445000
2003;8,4;9,2;127718000
2004;8,050859795;8,693604565;127761000
2005;8,530753759;8,413292219;127773000
2006;8,53;8,65;127854000
2007;8,71;8,63;128001000
2008;9,1;8,7;128063000
2009;9,1;8,5;128047000
2010;9,5;8,5;128070000
2011;9,9;8,3;127817277
2012;10;8,2;127561489
2013;10,1;8,2;127338621
2014;10;8;127131800
