Year;Month;Quantity
1993;1;213998
1993;2;275392
1993;3;346087
1993;4;580750
1993;5;799651
1993;6;682073
1993;7;746153
1993;8;786685
1993;9;695978
1993;10;701916
1993;11;384619
1993;12;311900
1994;1;269665
1994;2;303732
1994;3;396305
1994;4;471257
1994;5;647083
1994;6;673759
1994;7;822609
1994;8;901875
1994;9;772971
1994;10;697332
1994;11;394901
1994;12;344216
1995;1;276633
1995;2;304287
1995;3;370184
1995;4;536253
1995;5;734238
1995;6;813239
1995;7;1011097
1995;8;1066584
1995;9;1057119
1995;10;841635
1995;11;391640
1995;12;341946
1996;1;287178
1996;2;326187
1996;3;539738
1996;4;557846
1996;5;878197
1996;6;902258
1996;7;1011137
1996;8;1155810
1996;9;1118972
1996;10;911022
1996;11;453461
1996;12;394972
1997;1;302452
1997;2;315745
1997;3;557148
1997;4;642080
1997;5;1003366
1997;6;1047568
1997;7;1208997
1997;8;1427984
1997;9;1298645
1997;10;949270
1997;11;540201
1997;12;419054
1998;1;348164
1998;2;372963
1998;3;478063
1998;4;643702
1998;5;988110
1998;6;1005549
1998;7;1145001
1998;8;1377009
1998;9;1164781
1998;10;1034658
1998;11;501644
1998;12;371636
1999;1;359046
1999;2;371727
1999;3;409483
1999;4;426558
1999;5;691365
1999;6;784642
1999;7;931895
1999;8;1079249
1999;9;876261
1999;10;800527
1999;11;435804
1999;12;320808
2000;1;339150
2000;2;354486
2000;3;435158
2000;4;721128
2000;5;986376
2000;6;1079139
2000;7;1525742
2000;8;1419294
2000;9;1368420
2000;10;1178221
2000;11;602395
2000;12;423879
2001;1;359320
2001;2;404653
2001;3;547365
2001;4;884805
2001;5;1231562
2001;6;1387955
2001;7;1776821
2001;8;1601331
2001;9;1440365
2001;10;1065825
2001;11;520962
2001;12;398005
2002;1;306597
2002;2;426405
2002;3;675687
2002;4;852930
2002;5;1325752
2002;6;1457615
2002;7;1897112
2002;8;1900120
2002;9;1770566
2002;10;1420386
2002;11;662985
2002;12;559873
2003;1;362349
2003;2;478117
2003;3;495175
2003;4;665167
2003;5;1141558
2003;6;1506956
2003;7;2123678
2003;8;2263597
2003;9;1865650
2003;10;1648459
2003;11;769107
2003;12;636297
2004;1;533818
2004;2;607855
2004;3;783761
2004;4;1098401
2004;5;1801118
2004;6;1901716
2004;7;2597432
2004;8;2525917
2004;9;2127172
2004;10;1843417
2004;11;949729
